Case Number,Start State,Solution Found,Number of Moves,Nodes Opened,Computing Time
1,"[2, 2, [[5, 3, 2], [8, 4, 6], [1, 7, 0]]]",1,24,5112,0.02782583236694336
2,"[0, 2, [[5, 3, 0], [2, 6, 1], [7, 8, 4]]]",1,24,6793,0.03594613075256348
3,"[0, 0, [[0, 3, 5], [4, 8, 6], [2, 7, 1]]]",1,22,534,0.002753734588623047
4,"[0, 0, [[0, 2, 8], [1, 7, 6], [4, 3, 5]]]",1,22,1883,0.009737253189086914
5,"[0, 2, [[5, 4, 0], [1, 7, 6], [2, 3, 8]]]",0,0,1724557,10.000075578689575
6,"[2, 1, [[5, 2, 8], [3, 6, 7], [4, 0, 1]]]",0,0,1681900,10.000102281570435
7,"[1, 1, [[8, 7, 3], [4, 0, 1], [5, 6, 2]]]",1,24,2991,0.015620946884155273
8,"[2, 2, [[1, 2, 6], [8, 4, 7], [5, 3, 0]]]",1,20,1243,0.006437063217163086
9,"[2, 2, [[1, 5, 7], [8, 6, 4], [2, 3, 0]]]",0,0,1720778,10.000067949295044
10,"[0, 2, [[2, 7, 0], [4, 8, 5], [1, 6, 3]]]",1,22,926,0.004828929901123047
